family,category,path,source,license,exclusion_reason,selection_seed,latin_support,validation_status,failure_reason,usable,slug,catalog_category,metadata_category,metadata_url,source_url,license_url,license_path,subsets
Arvo,serif,data/raw/fonts/google_fonts/serif/Arvo__Arvo-Regular.ttf,Google Fonts official repository,OFL,not selected for balanced 18-family category sample,42,True,passed,,True,arvo,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/arvo/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/arvo/Arvo-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/arvo/OFL.txt,data/raw/fonts/google_fonts/serif/Arvo__OFL.txt,"latin,menu"
Bitter,serif,data/raw/fonts/google_fonts/serif/Bitter__Bitter[wght].ttf,Google Fonts official repository,OFL,not selected for balanced 18-family category sample,42,True,passed,,True,bitter,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/bitter/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/bitter/Bitter%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/bitter/OFL.txt,data/raw/fonts/google_fonts/serif/Bitter__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese"
Cardo,serif,data/raw/fonts/google_fonts/serif/Cardo__Cardo-Regular.ttf,Google Fonts official repository,OFL,not selected for balanced 18-family category sample,42,True,passed,,True,cardo,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/cardo/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/cardo/Cardo-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/cardo/OFL.txt,data/raw/fonts/google_fonts/serif/Cardo__OFL.txt,"gothic,greek,greek-ext,hebrew,latin,latin-ext,menu,old-italic,runic"
EB Garamond,serif,data/raw/fonts/google_fonts/serif/EB_Garamond__EBGaramond[wght].ttf,Google Fonts official repository,OFL,not selected for balanced 18-family category sample,42,True,passed,,True,ebgaramond,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/ebgaramond/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/ebgaramond/EBGaramond%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/ebgaramond/OFL.txt,data/raw/fonts/google_fonts/serif/EB_Garamond__OFL.txt,"cyrillic,cyrillic-ext,greek,greek-ext,latin,latin-ext,menu,vietnamese"
Lora,serif,data/raw/fonts/google_fonts/serif/Lora__Lora[wght].ttf,Google Fonts official repository,OFL,not selected for balanced 18-family category sample,42,True,passed,,True,lora,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/lora/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/lora/Lora%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/lora/OFL.txt,data/raw/fonts/google_fonts/serif/Lora__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,math,menu,symbols,vietnamese"
Spectral,serif,data/raw/fonts/google_fonts/serif/Spectral__Spectral-Regular.ttf,Google Fonts official repository,OFL,not selected for balanced 18-family category sample,42,True,passed,,True,spectral,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/spectral/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/spectral/Spectral-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/spectral/OFL.txt,data/raw/fonts/google_fonts/serif/Spectral__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese"
Vollkorn,serif,data/raw/fonts/google_fonts/serif/Vollkorn__Vollkorn[wght].ttf,Google Fonts official repository,OFL,not selected for balanced 18-family category sample,42,True,passed,,True,vollkorn,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/vollkorn/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/vollkorn/Vollkorn%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/vollkorn/OFL.txt,data/raw/fonts/google_fonts/serif/Vollkorn__OFL.txt,"cyrillic,cyrillic-ext,greek,latin,latin-ext,menu,vietnamese"
Cabin,sans_serif,"data/raw/fonts/google_fonts/sans_serif/Cabin__Cabin[wdth,wght].ttf",Google Fonts official repository,OFL,not selected for balanced 18-family category sample,42,True,passed,,True,cabin,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/cabin/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/cabin/Cabin%5Bwdth%2Cwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/cabin/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Cabin__OFL.txt,"latin,latin-ext,menu,vietnamese"
DM Sans,sans_serif,"data/raw/fonts/google_fonts/sans_serif/DM_Sans__DMSans[opsz,wght].ttf",Google Fonts official repository,OFL,not selected for balanced 18-family category sample,42,True,passed,,True,dmsans,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/dmsans/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/dmsans/DMSans%5Bopsz%2Cwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/dmsans/OFL.txt,data/raw/fonts/google_fonts/sans_serif/DM_Sans__OFL.txt,"latin,latin-ext,menu"
Maven Pro,sans_serif,data/raw/fonts/google_fonts/sans_serif/Maven_Pro__MavenPro[wght].ttf,Google Fonts official repository,OFL,not selected for balanced 18-family category sample,42,True,passed,,True,mavenpro,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/mavenpro/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/mavenpro/MavenPro%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/mavenpro/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Maven_Pro__OFL.txt,"latin,latin-ext,menu,vietnamese"
