family,category,split,path,source,license,selection_seed,latin_support,validation_status,failure_reason,usable,slug,catalog_category,metadata_category,metadata_url,source_url,license_url,license_path,subsets
Alegreya,serif,train,data/raw/fonts/google_fonts/serif/Alegreya__Alegreya[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,alegreya,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/alegreya/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/alegreya/Alegreya%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/alegreya/OFL.txt,data/raw/fonts/google_fonts/serif/Alegreya__OFL.txt,"cyrillic,cyrillic-ext,greek,greek-ext,latin,latin-ext,menu,vietnamese"
Bree Serif,serif,train,data/raw/fonts/google_fonts/serif/Bree_Serif__BreeSerif-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,breeserif,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/breeserif/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/breeserif/BreeSerif-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/breeserif/OFL.txt,data/raw/fonts/google_fonts/serif/Bree_Serif__OFL.txt,"latin,latin-ext,menu"
Crimson Pro,serif,train,data/raw/fonts/google_fonts/serif/Crimson_Pro__CrimsonPro[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,crimsonpro,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/crimsonpro/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/crimsonpro/CrimsonPro%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/crimsonpro/OFL.txt,data/raw/fonts/google_fonts/serif/Crimson_Pro__OFL.txt,"latin,latin-ext,menu,vietnamese"
Domine,serif,train,data/raw/fonts/google_fonts/serif/Domine__Domine[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,domine,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/domine/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/domine/Domine%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/domine/OFL.txt,data/raw/fonts/google_fonts/serif/Domine__OFL.txt,"latin,latin-ext,menu"
Frank Ruhl Libre,serif,train,data/raw/fonts/google_fonts/serif/Frank_Ruhl_Libre__FrankRuhlLibre[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,frankruhllibre,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/frankruhllibre/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/frankruhllibre/FrankRuhlLibre%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/frankruhllibre/OFL.txt,data/raw/fonts/google_fonts/serif/Frank_Ruhl_Libre__OFL.txt,"hebrew,latin,latin-ext,menu"
Gentium Book Plus,serif,train,data/raw/fonts/google_fonts/serif/Gentium_Book_Plus__GentiumBookPlus-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,gentiumbookplus,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/gentiumbookplus/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/gentiumbookplus/GentiumBookPlus-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/gentiumbookplus/OFL.txt,data/raw/fonts/google_fonts/serif/Gentium_Book_Plus__OFL.txt,"cyrillic,cyrillic-ext,greek,greek-ext,latin,latin-ext,menu,vietnamese"
Newsreader,serif,train,"data/raw/fonts/google_fonts/serif/Newsreader__Newsreader[opsz,wght].ttf",Google Fonts official repository,OFL,42,True,passed,,True,newsreader,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/newsreader/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/newsreader/Newsreader%5Bopsz%2Cwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/newsreader/OFL.txt,data/raw/fonts/google_fonts/serif/Newsreader__OFL.txt,"latin,latin-ext,menu,vietnamese"
Noto Serif,serif,train,"data/raw/fonts/google_fonts/serif/Noto_Serif__NotoSerif[wdth,wght].ttf",Google Fonts official repository,OFL,42,True,passed,,True,notoserif,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/notoserif/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/notoserif/NotoSerif%5Bwdth%2Cwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/notoserif/OFL.txt,data/raw/fonts/google_fonts/serif/Noto_Serif__OFL.txt,"cyrillic,cyrillic-ext,greek,greek-ext,latin,latin-ext,math,menu,vietnamese"
Playfair Display,serif,train,data/raw/fonts/google_fonts/serif/Playfair_Display__PlayfairDisplay[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,playfairdisplay,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/playfairdisplay/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/playfairdisplay/PlayfairDisplay%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/playfairdisplay/OFL.txt,data/raw/fonts/google_fonts/serif/Playfair_Display__OFL.txt,"cyrillic,latin,latin-ext,menu,vietnamese"
Roboto Slab,serif,train,data/raw/fonts/google_fonts/serif/Roboto_Slab__RobotoSlab[wght].ttf,Google Fonts official repository,APACHE2,42,True,passed,,True,robotoslab,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/apache/robotoslab/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/apache/robotoslab/RobotoSlab%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/apache/robotoslab/LICENSE.txt,data/raw/fonts/google_fonts/serif/Roboto_Slab__LICENSE.txt,"cyrillic,cyrillic-ext,greek,greek-ext,latin,latin-ext,menu,vietnamese"
Rokkitt,serif,train,data/raw/fonts/google_fonts/serif/Rokkitt__Rokkitt[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,rokkitt,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/rokkitt/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/rokkitt/Rokkitt%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/rokkitt/OFL.txt,data/raw/fonts/google_fonts/serif/Rokkitt__OFL.txt,"latin,latin-ext,menu,vietnamese"
