family,category,source,license,path,latin_support,validation_status,failure_reason,usable,slug,catalog_category,metadata_category,metadata_url,source_url,license_url,license_path,subsets
Roboto,sans_serif,Google Fonts official repository,OFL,"data/raw/fonts/google_fonts/sans_serif/Roboto__Roboto[wdth,wght].ttf",True,passed,,True,roboto,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/roboto/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/roboto/Roboto%5Bwdth%2Cwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/roboto/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Roboto__OFL.txt,"cyrillic,cyrillic-ext,greek,greek-ext,latin,latin-ext,math,menu,symbols,vietnamese"
Open Sans,sans_serif,Google Fonts official repository,OFL,"data/raw/fonts/google_fonts/sans_serif/Open_Sans__OpenSans[wdth,wght].ttf",True,passed,,True,opensans,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/opensans/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/opensans/OpenSans%5Bwdth%2Cwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/opensans/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Open_Sans__OFL.txt,"cyrillic,cyrillic-ext,greek,greek-ext,hebrew,latin,latin-ext,math,menu,symbols,vietnamese"
Lato,sans_serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/sans_serif/Lato__Lato-Regular.ttf,True,passed,,True,lato,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/lato/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/lato/Lato-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/lato/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Lato__OFL.txt,"cyrillic,cyrillic-ext,greek,greek-ext,latin,latin-ext,menu,vietnamese"
Montserrat,sans_serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/sans_serif/Montserrat__Montserrat[wght].ttf,True,passed,,True,montserrat,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/montserrat/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/montserrat/Montserrat%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/montserrat/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Montserrat__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese"
Nunito,sans_serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/sans_serif/Nunito__Nunito[wght].ttf,True,passed,,True,nunito,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/nunito/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/nunito/Nunito%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/nunito/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Nunito__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese"
Raleway,sans_serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/sans_serif/Raleway__Raleway[wght].ttf,True,passed,,True,raleway,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/raleway/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/raleway/Raleway%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/raleway/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Raleway__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese"
Ubuntu,sans_serif,Google Fonts official repository,UFL,data/raw/fonts/google_fonts/sans_serif/Ubuntu__Ubuntu-Regular.ttf,True,passed,,True,ubuntu,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ufl/ubuntu/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ufl/ubuntu/Ubuntu-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ufl/ubuntu/UFL.txt,data/raw/fonts/google_fonts/sans_serif/Ubuntu__UFL.txt,"cyrillic,cyrillic-ext,greek,greek-ext,latin,latin-ext,menu"
Inter,sans_serif,Google Fonts official repository,OFL,"data/raw/fonts/google_fonts/sans_serif/Inter__Inter[opsz,wght].ttf",True,passed,,True,inter,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/inter/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/inter/Inter%5Bopsz%2Cwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/inter/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Inter__OFL.txt,"cyrillic,cyrillic-ext,greek,greek-ext,latin,latin-ext,menu,vietnamese"
Work Sans,sans_serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/sans_serif/Work_Sans__WorkSans[wght].ttf,True,passed,,True,worksans,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/worksans/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/worksans/WorkSans%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/worksans/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Work_Sans__OFL.txt,"latin,latin-ext,menu,vietnamese"
Source Sans 3,sans_serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/sans_serif/Source_Sans_3__SourceSans3[wght].ttf,True,passed,,True,sourcesans3,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/sourcesans3/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/sourcesans3/SourceSans3%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/sourcesans3/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Source_Sans_3__OFL.txt,"cyrillic,cyrillic-ext,greek,greek-ext,latin,latin-ext,menu,vietnamese"
