family,category,source,license,path,latin_support,validation_status,failure_reason,usable,slug,repository_folder,source_commit,metadata_url,font_url,license_url,license_path,subsets,font_sha256,font_size_bytes,exclusion_reason
Cormorant Garamond,serif,Google Fonts official repository,OFL,data/v2/raw/fonts/serif/Cormorant_Garamond__CormorantGaramond[wght].ttf,True,passed,,True,cormorantgaramond,ofl,e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/cormorantgaramond/METADATA.pb,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/cormorantgaramond/CormorantGaramond%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/cormorantgaramond/OFL.txt,data/v2/raw/fonts/serif/Cormorant_Garamond__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese",b20b7d9626dd956b2c5e558692ad328b1f19e3275e2782db4fa07670d83f35e0,1195560,protected historical V1 test family
Libre Baskerville,serif,Google Fonts official repository,OFL,data/v2/raw/fonts/serif/Libre_Baskerville__LibreBaskerville[wght].ttf,True,passed,,True,librebaskerville,ofl,e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/librebaskerville/METADATA.pb,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/librebaskerville/LibreBaskerville%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/librebaskerville/OFL.txt,data/v2/raw/fonts/serif/Libre_Baskerville__OFL.txt,"latin,latin-ext,menu",05a95421961341c5b2556285e8415df9db27dab4f4abe22b446b3c6a8b916c5d,171900,protected historical V1 test family
Merriweather,serif,Google Fonts official repository,OFL,"data/v2/raw/fonts/serif/Merriweather__Merriweather[opsz,wdth,wght].ttf",True,passed,,True,merriweather,ofl,e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/merriweather/METADATA.pb,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/merriweather/Merriweather%5Bopsz%2Cwdth%2Cwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/merriweather/OFL.txt,data/v2/raw/fonts/serif/Merriweather__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese",d0ed0e359e396af7ad05e73dffd11a3a4c326ea0d0283c56bd9361cb2cc86a96,4628080,protected historical V1 test family
Almendra,serif,Google Fonts official repository,OFL,data/v2/raw/fonts/serif/Almendra__Almendra-Regular.ttf,True,passed,,True,almendra,ofl,e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/almendra/METADATA.pb,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/almendra/Almendra-Regular.ttf,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/almendra/OFL.txt,data/v2/raw/fonts/serif/Almendra__OFL.txt,"latin,latin-ext,menu",b127a6121209353b53da9ce73bf9d350f74190d8384c28ede179e4fb9440f946,68684,not selected for balanced V2 family sample
Antic Didone,serif,Google Fonts official repository,OFL,data/v2/raw/fonts/serif/Antic_Didone__AnticDidone-Regular.ttf,True,passed,,True,anticdidone,ofl,e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/anticdidone/METADATA.pb,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/anticdidone/AnticDidone-Regular.ttf,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/anticdidone/OFL.txt,data/v2/raw/fonts/serif/Antic_Didone__OFL.txt,"latin,menu",63a560792f0cb5342c0da7759c9df2e1ce0324a8af46ae976d9458fbcccbb440,39668,not selected for balanced V2 family sample
Baskervville,serif,Google Fonts official repository,OFL,data/v2/raw/fonts/serif/Baskervville__Baskervville[wght].ttf,True,passed,,True,baskervville,ofl,e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/baskervville/METADATA.pb,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/baskervville/Baskervville%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/baskervville/OFL.txt,data/v2/raw/fonts/serif/Baskervville__OFL.txt,"latin,latin-ext,menu",a08bcf988383b344aacfd34365a8cd408a4a9665caaf19dc0d716a93833a0fa7,140076,not selected for balanced V2 family sample
Belgrano,serif,Google Fonts official repository,OFL,data/v2/raw/fonts/serif/Belgrano__Belgrano-Regular.ttf,True,passed,,True,belgrano,ofl,e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/belgrano/METADATA.pb,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/belgrano/Belgrano-Regular.ttf,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/belgrano/OFL.txt,data/v2/raw/fonts/serif/Belgrano__OFL.txt,"latin,menu",5bf095dfbc56718bea7d74c0b30c36413714aaf8833d2cb012b604b64fd383d9,29048,not selected for balanced V2 family sample
BioRhyme Expanded,serif,Google Fonts official repository,OFL,data/v2/raw/fonts/serif/BioRhyme_Expanded__BioRhymeExpanded-Regular.ttf,True,passed,,True,biorhymeexpanded,ofl,e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/biorhymeexpanded/METADATA.pb,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/biorhymeexpanded/BioRhymeExpanded-Regular.ttf,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/biorhymeexpanded/OFL.txt,data/v2/raw/fonts/serif/BioRhyme_Expanded__OFL.txt,"latin,latin-ext,menu",e75a7c996c8884d3d26c0823e7cfbf3cf404d27a36ddff715f6dfd95389affa7,100672,not selected for balanced V2 family sample
Cormorant SC,serif,Google Fonts official repository,OFL,data/v2/raw/fonts/serif/Cormorant_SC__CormorantSC-Regular.ttf,True,passed,,True,cormorantsc,ofl,e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/cormorantsc/METADATA.pb,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/cormorantsc/CormorantSC-Regular.ttf,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/cormorantsc/OFL.txt,data/v2/raw/fonts/serif/Cormorant_SC__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese",a51985a075f3884d8dc9b2d20367c51b6b05e53fdb912959acb785084579aeaa,763624,not selected for balanced V2 family sample
Coustard,serif,Google Fonts official repository,OFL,data/v2/raw/fonts/serif/Coustard__Coustard-Regular.ttf,True,passed,,True,coustard,ofl,e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/coustard/METADATA.pb,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/coustard/Coustard-Regular.ttf,https://raw.githubusercontent.com/google/fonts/e1118da94a8cb00cf6d06cdac9ef13eb1e5c6ab7/ofl/coustard/OFL.txt,data/v2/raw/fonts/serif/Coustard__OFL.txt,"latin,latin-ext,menu",71f251444fc70fc98adb011cdf8d8c64ecc7ae5d57fc04f59d8ebb1cfc16460c,75432,not selected for balanced V2 family sample
