image_path,family,category,split,exists,opens_successfully,error,width,height,mode,file_size_bytes,brightness_mean,contrast_std,intensity_range,blank,low_pixel_contrast,sha256,difference_hash,actual_font_size,background,blur_radius,contrast_style,horizontal_shift_px,jpeg_quality,letter_spacing_px,luminance_difference,rotation_degrees,scale_factor,vertical_shift_px
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0000.png,Alegreya,serif,train,True,True,,224,96,RGB,5112,238.8638,26.4418,215.0,False,False,c2702c72e81540d922e131c09c780af6ab1ad1c88e2f638e6e3c714e28ed9c83,ffffffffffffffffedfcdb4ba3cf4d645b64a79bddefffffffffffffffffffff,22,light,0.455,strong,1,,1,214.33,1.45,0.9983,-4
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0001.png,Alegreya,serif,train,True,True,,224,96,RGB,5314,31.1401,30.3235,224.0,False,False,ec35a5fc6dbd7b8bdd94aeca9b0ade582c0b6bd14c5dd5b271d65709b250b31c,fffffffffffffefffd9b6e649a4b6a4a2c4aa84b57b5ef6bffffffffffffffff,26,dark,0.293,strong,-2,,2,218.0,2.327,1.026,-2
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0002.png,Alegreya,serif,train,True,True,,224,96,RGB,3070,243.7456,14.7663,160.0,False,False,c5af29e9c0a69f0fb8f7dbb9982897355b1ee755259618b1afdf590de5d564a8,ffffffffffffffffb6b6594ba6a6aea6aba5755affbfffffffffffffffffffff,17,light,,soft,8,,3,160.33,0.038,0.9876,-4
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0003.png,Alegreya,serif,train,True,True,,224,96,RGB,8998,36.3551,30.3275,235.0,False,False,d1cf8b4c06b8131bb1e0eae3ffdb369c8c4ecc7e7bbcf31784347371f507cd4d,ffffffffffffffffdfbea74feac18ac9524d5855dbaee6fffbffffffffffffff,24,dark,,strong,2,87.0,0,216.67,1.434,1.0097,-1
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0004.png,Alegreya,serif,train,True,True,,224,96,RGB,9360,239.1008,29.7527,243.0,False,False,7b79d84a4a2cca9210dc755a6a9862319894aa0648f0e002fed7a8f9b6a82bf8,fffffffffffffffffbbf6dcfb235952a2f447754b8aaff5fffffffffffffffff,24,light,0.217,strong,-1,88.0,0,228.67,-0.832,0.992,2
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0005.png,Alegreya,serif,train,True,True,,224,96,RGB,5480,235.7336,28.6478,151.0,False,False,4ab445ab47112871610de614e7c0c023a62110c99571c7d6a367e3bcc0cf94e4,ffffffffffffff5fddafb47d597b69578e54d9544853bfecff7fffffffffffff,39,light,,soft,-10,,0,146.0,-1.797,0.9764,-2
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0006.png,Alegreya,serif,train,True,True,,224,96,RGB,7226,230.5679,24.9166,234.0,False,False,afa36448b3e28b414ab3d375356a82daeb0d0afc0438fdbba7c955cbaba1a643,ffffffffffffeefe337dcc82aab6aab4a2d4532aacf7f7ffffffffffffffffff,24,light,,strong,12,75.0,3,194.67,-2.14,0.9401,-4
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0007.png,Alegreya,serif,train,True,True,,224,96,RGB,5472,238.0325,26.388,164.0,False,False,1ea9eb7cef4be57ca560df46a490bb71f29117ae376052f9e79621e671190ade,ffffffffffffffffebffb77e49bbe94ea92f994c6585fbfdfffeffffffffffff,28,light,,soft,1,,0,160.33,-1.502,1.0386,2
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0008.png,Alegreya,serif,train,True,True,,224,96,RGB,4558,241.7755,31.6425,221.0,False,False,5ca17e8fc789106832a4eb65f410635bc42ac414940a8f9b69d9567b2efe8ea3,fffffffffffffffff7d37bad864a154b714aad525ab3bfddfffbffffffffffff,26,light,,strong,11,,0,220.0,0.907,1.0255,2
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0009.png,Alegreya,serif,train,True,True,,224,96,RGB,4722,241.3306,18.2593,153.0,False,False,e92901b7526c259b35ba049e71c086b78382cdf3919f8becc2e121b47a4cdb37,fffffffffffffffffdffdf2b74d6aca9ad4d2d4a72f5cddaffffffffffffffff,21,light,0.499,soft,5,,2,158.0,-0.422,1.0493,2
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0010.png,Alegreya,serif,train,True,True,,224,96,RGB,5393,241.8622,36.4409,225.0,False,False,b72a286f1469fd7e4a3be9398794a51252f3f39ae497854b02c242bae6b66647,ffffffffffffffffff3f39cfe73da523ab262d2dcef329d2d7fdffffffffffff,28,light,,strong,12,,0,220.67,-0.32,1.0498,3
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0011.png,Alegreya,serif,train,True,True,,224,96,RGB,9833,19.3828,22.3805,216.0,False,False,54637e98670652a8904cc0c685eba45dcc46e6408d77133618cc620c71cee791,ffffffffffffffffffffdaa7e57eaa982a9d6a9dad76dbddffffffffffffffff,21,dark,,soft,11,88.0,3,166.67,1.18,1.0068,1
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0012.png,Alegreya,serif,train,True,True,,224,96,RGB,4881,244.6341,31.1384,217.0,False,False,83e826c5974b81987de0044f219dff52ef6b6d6891f4e0ee71981c6687a4ad28,ffffffffffffffdf95b5fa5bd4d515dc55d5bf3edddfffffffffffffffffffff,26,light,,strong,4,,0,226.67,0.49,1.0331,-4
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0013.png,Alegreya,serif,train,True,True,,224,96,RGB,8949,239.458,26.358,214.0,False,False,fa933a2ecf9a2f73a3e0650a3d0e897b6e314754fa2aff0c439c8374821b0713,fffffffffffff9f7fe7961a679d599499b5264e5dbbafff7ffffffffffffffff,26,light,0.42,strong,-2,80.0,1,211.67,-2.128,0.9957,-2
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0014.png,Alegreya,serif,train,True,True,,224,96,RGB,4681,28.5512,27.4338,209.0,False,False,98e217f12a9aca267473e7369fda155a27a1d42f857a1071c7b8aa3be391e0f2,ffffffffffffffff7fefda9f25655acaa8dadad25adaa7b5ffdbffffffffffff,30,dark,,soft,10,,1,182.67,-0.818,0.9593,2
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0015.png,Alegreya,serif,train,True,True,,224,96,RGB,7024,235.6951,20.194,157.0,False,False,25aead1baa41d5471b383fe3ee61e8b8179d6fdfdecb2362f7add73996f5a66b,ffffffffffffff7f2ec6d919ab4a0b2b2b4accfe777ffffeffffffffffffffff,26,light,,soft,7,88.0,1,138.67,0.138,0.9927,-2
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0016.png,Alegreya,serif,train,True,True,,224,96,RGB,4391,28.8106,20.5196,203.0,False,False,f0ab86daa3637f43c886ccbd69483805a4b560f7fdfea68e4b1b407503b2422e,ffffffffffffffefee9b99e5ba6aaa5ae84a67b59adbefffffffffffffffffff,19,dark,0.335,soft,5,,3,177.0,1.639,1.0486,-4
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0017.png,Alegreya,serif,train,True,True,,224,96,RGB,3847,237.1405,16.6568,146.0,False,False,47a29e8c2a7f0a1df696f26b614b3da3dab621523dc397860a62110a6ed718f8,ffffffffffffffffef4db5ba2db5caa5eba9dd6bbbb4ffefffffffffffffffff,21,light,,soft,-9,,3,150.67,1.285,0.9648,-1
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0018.png,Alegreya,serif,train,True,True,,224,96,RGB,4536,40.6849,24.6466,210.0,False,False,7f4d2765e03ab5809b8f75b88226c029bb15f49c0a7e10eea67b283c24a263de,fffffffffffffeff79d3ae2c525d56d65656a9ae57d9ffffffffffffffffffff,22,dark,0.327,strong,-7,,2,201.67,-0.546,1.0405,-3
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0019.png,Alegreya,serif,train,True,True,,224,96,RGB,4596,234.8173,24.168,155.0,False,False,95affbc1a92a02f36eea27c3dcac3b2b7bca2aeed8c216b955da2d4dc09c4f6b,ffffffffffff77ffca7e37ad775964574dad255599557eaeffffffffffffffff,31,light,,soft,11,,0,159.67,-1.694,1.0247,-2
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0020.png,Alegreya,serif,train,True,True,,224,96,RGB,4459,18.8265,26.4778,241.0,False,False,d4e88ba6db635c6868288a4635edd70a160d270be4b6fa9910316bc38bba5c1f,fffffffffffffffffffffff6dab9d64af7a616a6a556def9fffeffffffffffff,22,dark,,strong,-8,,2,213.0,2.5,0.9889,4
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0021.png,Alegreya,serif,train,True,True,,224,96,RGB,9654,228.7378,29.9128,247.0,False,False,8a880522d82d7dfcd185c376c83a3266db7c30ad4c77e0f5cac5bfd6a064fe35,ffffffffffffffffdf7f25975a3ddb6bd62a926a95956b6bbfffffffffffffff,28,light,0.277,strong,3,77.0,2,200.33,-1.71,0.9834,1
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0022.png,Alegreya,serif,train,True,True,,224,96,RGB,4363,239.4964,23.4546,175.0,False,False,e2c1d126ff1826d4df53c48b90d419229c764a6b525565521793c6aa6811ee03,ffffffffffffefffba5f4db48dccad3aada2daadff7fffffffffffffffffffff,22,light,,soft,-6,,1,175.67,-0.864,1.0573,-4
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0023.png,Alegreya,serif,train,True,True,,224,96,RGB,3670,239.1474,16.9376,149.0,False,False,3fa00171d78fa6f418c3c74aeafa50e86c5e4f26e8cd08a6cdd62ff3742b1962,fffffffffffffbfffcebab155a2a5aa359abf6fdfdfbffffffffffffffffffff,22,light,,soft,-8,,2,152.33,-0.911,0.9679,-3
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0024.png,Alegreya,serif,train,True,True,,224,96,RGB,5368,238.1825,32.6247,232.0,False,False,755b7e885f87e95800ae28e030489fb2d685fcd69d446ca33dd8f349b52f97a9,ffffffffffffeb7ef5af4b5448eaa9ab4aaab6d44bbfffffffffffffffffffff,24,light,,strong,0,,1,227.0,-1.699,0.9915,-3
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0025.png,Alegreya,serif,train,True,True,,224,96,RGB,4949,239.9323,36.2359,215.0,False,False,2cee5468e26d4e315c3635d2f56a14b045b96abea4e7f1b174e60d0a785a3976,ffffffffffdfffb957469ece54db4569554e57d1aaa95ff6fffdffffffffffff,35,light,,strong,-7,,0,213.33,2.073,1.0036,-3
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0026.png,Alegreya,serif,train,True,True,,224,96,RGB,4101,29.0666,27.8385,231.0,False,False,68e33c47858f9a85066f9af8153ee81a60679102b5e0322c264ce7ee9e4a8582,fffffffffffffffff7af8c5773afb08ea4ddb5b3491eb7fffdffffffffffffff,26,dark,,strong,2,,2,214.33,-0.126,0.9506,3
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0027.png,Alegreya,serif,train,True,True,,224,96,RGB,7344,27.3925,25.6738,245.0,False,False,153479f11c73d292c83508ab8f37681f9289c048014d8ca7f0ef25da830f2b32,fffffffffffffffffdb936762a566d956995e9eaf7b7fbffffffffffffffffff,21,dark,,strong,8,83.0,3,215.67,0.718,0.9799,-1
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0028.png,Alegreya,serif,train,True,True,,224,96,RGB,4163,242.7421,22.0856,164.0,False,False,656df63e5e30af7d694697a15bd4ec9a8346111a0e706feccf5eae806f69c8e8,fffffffffffffffffffffeffbf2b56d5d63556659575ebdaf7ffffffffffffff,24,light,,soft,-2,,3,152.33,1.39,1.005,4
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0029.png,Alegreya,serif,train,True,True,,224,96,RGB,5819,244.5942,29.0411,203.0,False,False,f30aa36f5218cf9cd54b250319804e0ef7cc20fde6c0ae97ccacab283122b67e,ffffffffffffffffff7fdbad365b6b625b354f4aceb7f37fdfffffffffffffff,26,light,0.4,strong,-8,,0,219.0,-0.516,0.9753,2
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0030.png,Alegreya,serif,train,True,True,,224,96,RGB,6306,230.8494,42.5584,212.0,False,False,e5390b674a205ccf94f913b36943342799e50dfcb233dc1e92c9fe0af4a26062,ffffffffffbf3fcfc7363cb522322332a8aea636b65249adb776ffffffffffff,40,light,0.186,strong,11,,3,222.0,0.832,1.0554,-3
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0031.png,Alegreya,serif,train,True,True,,224,96,RGB,6488,28.9563,31.7692,194.0,False,False,e7d96eac54b538be222761a81b6e5e0e2c1f82870913a4b5b4d567f3bc344a81,ffffffffffffffef5f1336d2cb4dd1555752d252adb5d35affffffffffffffff,39,dark,0.48,soft,-2,,0,169.33,-0.707,1.0406,-4
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0032.png,Alegreya,serif,train,True,True,,224,96,RGB,5004,236.0841,28.8367,202.0,False,False,2b03aae8754db89d1805b199590a7e93e2f07d6d6b8336a7724994bf1fa5a76a,ffffffffffffdfefedf91a869567a565ad65b5696abefffdffffffffffffffff,26,light,,strong,-1,,2,210.0,1.362,0.9552,-1
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0033.png,Alegreya,serif,train,True,True,,224,96,RGB,11115,237.0851,40.1006,241.0,False,False,966df0b1e6d22f0bf0a03441d8eff40afbcdb0f7b29e2b5049b8f76230cbf058,ffffffffffffffffff7b36bdc963b67b3649654aa6db92abe776ffffffffffff,37,light,,strong,4,74.0,1,218.33,-1.267,0.9842,4
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0034.png,Alegreya,serif,train,True,True,,224,96,RGB,4403,244.3638,19.3651,158.0,False,False,a950edff305a243f9389cfe1229bcd6cb5c3defaf910a52a7d8ef2cd48f1fa50,ffffffffffffffdff3e7ad1a4ad552d553d7a32b5cffffffffffffffffffffff,21,light,,soft,12,,2,154.67,2.207,0.9725,-4
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0035.png,Alegreya,serif,train,True,True,,224,96,RGB,4656,34.5805,28.9467,226.0,False,False,d49af1194136571dec34a0ef33121b82cfd10e351750d78c8869f7316c612003,ffffffffffffffdffeab53dd6cc2ab6a4b4a2d8af2f7eddfffffffffffffffff,24,dark,,strong,-10,,0,198.67,1.069,1.044,-2
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0036.png,Alegreya,serif,train,True,True,,224,96,RGB,4712,236.4655,24.5816,208.0,False,False,bac4017c8c8647555865b3f81b62f8c8a5c627ca3e615e263928ddb1d2363eea,fffffffffffffffffaddbd2254b7aa93eaf6d2ee2df7f7ffffffffffffffffff,22,light,0.251,strong,12,,1,215.33,2.473,0.9703,-1
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0037.png,Alegreya,serif,train,True,True,,224,96,RGB,4842,236.436,17.1122,132.0,False,False,4e4043a7ecbcaca1d78c2ca753dc086f43ee6031da18d4c144c7f03d30c1435a,fffffffffffffffffffff76fdcba5f4d5349524a9a77fd9ffeffffffffffffff,22,light,0.534,soft,0,,2,146.33,-0.578,1.0022,4
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0038.png,Alegreya,serif,train,True,True,,224,96,RGB,3775,24.3659,20.0589,208.0,False,False,3f8b7045f2def3c55d096503cd901fe02b35710e202b90918e8fafbc021284ad,ffffffffffffffffffffffbfbdda6b1bab678b656a9bf777ffffffffffffffff,21,dark,,soft,-11,,2,169.0,1.535,0.9578,4
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0039.png,Alegreya,serif,train,True,True,,224,96,RGB,4630,242.119,29.6061,224.0,False,False,23f91d0be71b8eac5313f921d8f2252641fc21494e1ab3d9714b5b938de6ce35,fffffffffffffffffff7ffdb69e5960f54ab55ab54abab5455abffffffffffff,26,light,0.241,strong,8,,3,223.33,1.504,1.0075,4
data/processed/fontsense_full/images/train/serif/Bree_Serif/Bree_Serif_0000.png,Bree Serif,serif,train,True,True,,224,96,RGB,8242,237.5347,24.7046,173.0,False,False,afb3647278a9cf351cd00c946937aa242ef622f5a63aab85c10024c490714345,ffffffffffffd77f6d9dd67e96a9e6acf6abbb5bfcf4fffbffffffffffffffff,22,light,0.351,soft,5,87.0,1,166.33,0.661,0.966,-2
data/processed/fontsense_full/images/train/serif/Bree_Serif/Bree_Serif_0001.png,Bree Serif,serif,train,True,True,,224,96,RGB,3903,231.0561,27.5824,203.0,False,False,7de41be60e3b2e49f871bc8ca530dd64b22e77d7f87a60377203227f33d8a546,ffffffffffffffffffff76f7ab6854d5d4b554d5ab6a76f5ffffffffffffffff,17,light,,strong,-1,,3,205.67,1.593,1.0434,2
data/processed/fontsense_full/images/train/serif/Bree_Serif/Bree_Serif_0002.png,Bree Serif,serif,train,True,True,,224,96,RGB,8468,29.291,38.7387,252.0,False,False,c674489993c3d15d6b32f38aa95f516b537b469689e276fcbd6e4452508142ee,ffffffffffffffffffffd4bf3b6b0746c455d6559555ebaafffdffffffffffff,24,dark,,strong,-2,73.0,0,222.0,-0.513,0.9412,3
data/processed/fontsense_full/images/train/serif/Bree_Serif/Bree_Serif_0003.png,Bree Serif,serif,train,True,True,,224,96,RGB,4588,244.7546,38.429,231.0,False,False,11be9d1deeffd002367e4fc8689d98ce35beb244c8487fab58623d1aedca5959,fffffffffffffff7babdefe7aeb6aab4abb4ffedbeb7fffdffffffffffffffff,21,light,,strong,6,,1,235.67,1.339,1.0181,-2
