rendered_text,category,images,category_rate
Bold Shapes,display,11,0.015277777777777777
Bold Shapes,handwriting,11,0.015277777777777777
Bold Shapes,monospace,11,0.015277777777777777
Bold Shapes,sans_serif,11,0.015277777777777777
Bold Shapes,serif,11,0.015277777777777777
Bright Future,display,15,0.020833333333333332
Bright Future,handwriting,15,0.020833333333333332
Bright Future,monospace,15,0.020833333333333332
Bright Future,sans_serif,15,0.020833333333333332
Bright Future,serif,15,0.020833333333333332
Bright Idea,display,13,0.018055555555555554
Bright Idea,handwriting,13,0.018055555555555554
Bright Idea,monospace,13,0.018055555555555554
Bright Idea,sans_serif,13,0.018055555555555554
Bright Idea,serif,13,0.018055555555555554
Classic,display,11,0.015277777777777777
Classic,handwriting,11,0.015277777777777777
Classic,monospace,11,0.015277777777777777
Classic,sans_serif,11,0.015277777777777777
Classic,serif,11,0.015277777777777777
Classic Forms,display,13,0.018055555555555554
Classic Forms,handwriting,13,0.018055555555555554
Classic Forms,monospace,13,0.018055555555555554
Classic Forms,sans_serif,13,0.018055555555555554
Classic Forms,serif,13,0.018055555555555554
Clean Lines,display,13,0.018055555555555554
Clean Lines,handwriting,13,0.018055555555555554
Clean Lines,monospace,13,0.018055555555555554
Clean Lines,sans_serif,13,0.018055555555555554
Clean Lines,serif,13,0.018055555555555554
Clear Design,display,13,0.018055555555555554
Clear Design,handwriting,13,0.018055555555555554
Clear Design,monospace,13,0.018055555555555554
Clear Design,sans_serif,13,0.018055555555555554
Clear Design,serif,13,0.018055555555555554
Clear Message,display,12,0.016666666666666666
Clear Message,handwriting,12,0.016666666666666666
Clear Message,monospace,12,0.016666666666666666
Clear Message,sans_serif,12,0.016666666666666666
Clear Message,serif,12,0.016666666666666666
Creative,display,11,0.015277777777777777
Creative,handwriting,11,0.015277777777777777
Creative,monospace,11,0.015277777777777777
Creative,sans_serif,11,0.015277777777777777
Creative,serif,11,0.015277777777777777
Creative Notes,display,14,0.019444444444444445
Creative Notes,handwriting,14,0.019444444444444445
Creative Notes,monospace,14,0.019444444444444445
Creative Notes,sans_serif,14,0.019444444444444445
Creative Notes,serif,14,0.019444444444444445
Creative Work,display,12,0.016666666666666666
Creative Work,handwriting,12,0.016666666666666666
Creative Work,monospace,12,0.016666666666666666
Creative Work,sans_serif,12,0.016666666666666666
Creative Work,serif,12,0.016666666666666666
Daily Design,display,13,0.018055555555555554
Daily Design,handwriting,13,0.018055555555555554
Daily Design,monospace,13,0.018055555555555554
Daily Design,sans_serif,13,0.018055555555555554
Daily Design,serif,13,0.018055555555555554
Daily Notes,display,14,0.019444444444444445
Daily Notes,handwriting,14,0.019444444444444445
Daily Notes,monospace,14,0.019444444444444445
Daily Notes,sans_serif,14,0.019444444444444445
Daily Notes,serif,14,0.019444444444444445
Design Notes,display,16,0.022222222222222223
Design Notes,handwriting,16,0.022222222222222223
Design Notes,monospace,16,0.022222222222222223
Design Notes,sans_serif,16,0.022222222222222223
Design Notes,serif,16,0.022222222222222223
Design Studio,display,14,0.019444444444444445
Design Studio,handwriting,14,0.019444444444444445
Design Studio,monospace,14,0.019444444444444445
Design Studio,sans_serif,14,0.019444444444444445
Design Studio,serif,14,0.019444444444444445
Design System,display,13,0.018055555555555554
Design System,handwriting,13,0.018055555555555554
Design System,monospace,13,0.018055555555555554
Design System,sans_serif,13,0.018055555555555554
Design System,serif,13,0.018055555555555554
Digital Type,display,13,0.018055555555555554
Digital Type,handwriting,13,0.018055555555555554
Digital Type,monospace,13,0.018055555555555554
Digital Type,sans_serif,13,0.018055555555555554
Digital Type,serif,13,0.018055555555555554
Editorial,display,14,0.019444444444444445
Editorial,handwriting,14,0.019444444444444445
Editorial,monospace,14,0.019444444444444445
Editorial,sans_serif,14,0.019444444444444445
Editorial,serif,14,0.019444444444444445
Font Sense,display,13,0.018055555555555554
Font Sense,handwriting,13,0.018055555555555554
Font Sense,monospace,13,0.018055555555555554
Font Sense,sans_serif,13,0.018055555555555554
Font Sense,serif,13,0.018055555555555554
Fresh Lines,display,16,0.022222222222222223
Fresh Lines,handwriting,16,0.022222222222222223
Fresh Lines,monospace,16,0.022222222222222223
Fresh Lines,sans_serif,16,0.022222222222222223
Fresh Lines,serif,16,0.022222222222222223
Friendly,display,11,0.015277777777777777
Friendly,handwriting,11,0.015277777777777777
Friendly,monospace,11,0.015277777777777777
Friendly,sans_serif,11,0.015277777777777777
Friendly,serif,11,0.015277777777777777
Future Vision,display,15,0.020833333333333332
Future Vision,handwriting,15,0.020833333333333332
Future Vision,monospace,15,0.020833333333333332
Future Vision,sans_serif,15,0.020833333333333332
Future Vision,serif,15,0.020833333333333332
Good Morning,display,13,0.018055555555555554
Good Morning,handwriting,13,0.018055555555555554
Good Morning,monospace,13,0.018055555555555554
Good Morning,sans_serif,13,0.018055555555555554
Good Morning,serif,13,0.018055555555555554
Graphic Style,display,13,0.018055555555555554
Graphic Style,handwriting,13,0.018055555555555554
Graphic Style,monospace,13,0.018055555555555554
Graphic Style,sans_serif,13,0.018055555555555554
Graphic Style,serif,13,0.018055555555555554
Headline,display,14,0.019444444444444445
Headline,handwriting,14,0.019444444444444445
Headline,monospace,14,0.019444444444444445
Headline,sans_serif,14,0.019444444444444445
Headline,serif,14,0.019444444444444445
Hello Reader,display,13,0.018055555555555554
Hello Reader,handwriting,13,0.018055555555555554
Hello Reader,monospace,13,0.018055555555555554
Hello Reader,sans_serif,13,0.018055555555555554
Hello Reader,serif,13,0.018055555555555554
Hello World,display,12,0.016666666666666666
Hello World,handwriting,12,0.016666666666666666
Hello World,monospace,12,0.016666666666666666
Hello World,sans_serif,12,0.016666666666666666
Hello World,serif,12,0.016666666666666666
Letter Space,display,12,0.016666666666666666
Letter Space,handwriting,12,0.016666666666666666
Letter Space,monospace,12,0.016666666666666666
Letter Space,sans_serif,12,0.016666666666666666
Letter Space,serif,12,0.016666666666666666
Letterform,display,16,0.022222222222222223
Letterform,handwriting,16,0.022222222222222223
Letterform,monospace,16,0.022222222222222223
Letterform,sans_serif,16,0.022222222222222223
Letterform,serif,16,0.022222222222222223
Made to Read,display,14,0.019444444444444445
Made to Read,handwriting,14,0.019444444444444445
Made to Read,monospace,14,0.019444444444444445
Made to Read,sans_serif,14,0.019444444444444445
Made to Read,serif,14,0.019444444444444445
Modern,display,14,0.019444444444444445
Modern,handwriting,14,0.019444444444444445
Modern,monospace,14,0.019444444444444445
Modern,sans_serif,14,0.019444444444444445
Modern,serif,14,0.019444444444444445
Modern Type,display,13,0.018055555555555554
Modern Type,handwriting,13,0.018055555555555554
Modern Type,monospace,13,0.018055555555555554
Modern Type,sans_serif,13,0.018055555555555554
Modern Type,serif,13,0.018055555555555554
Modern Words,display,14,0.019444444444444445
Modern Words,handwriting,14,0.019444444444444445
Modern Words,monospace,14,0.019444444444444445
Modern Words,sans_serif,14,0.019444444444444445
Modern Words,serif,14,0.019444444444444445
New Project,display,10,0.013888888888888888
New Project,handwriting,10,0.013888888888888888
New Project,monospace,10,0.013888888888888888
New Project,sans_serif,10,0.013888888888888888
New Project,serif,10,0.013888888888888888
Open Letters,display,9,0.0125
Open Letters,handwriting,9,0.0125
Open Letters,monospace,9,0.0125
Open Letters,sans_serif,9,0.0125
Open Letters,serif,9,0.0125
Open Source,display,11,0.015277777777777777
Open Source,handwriting,11,0.015277777777777777
Open Source,monospace,11,0.015277777777777777
Open Source,sans_serif,11,0.015277777777777777
Open Source,serif,11,0.015277777777777777
Page Layout,display,14,0.019444444444444445
Page Layout,handwriting,14,0.019444444444444445
Page Layout,monospace,14,0.019444444444444445
Page Layout,sans_serif,14,0.019444444444444445
Page Layout,serif,14,0.019444444444444445
Print Culture,display,14,0.019444444444444445
Print Culture,handwriting,14,0.019444444444444445
Print Culture,monospace,14,0.019444444444444445
Print Culture,sans_serif,14,0.019444444444444445
Print Culture,serif,14,0.019444444444444445
Quiet Words,display,11,0.015277777777777777
Quiet Words,handwriting,11,0.015277777777777777
Quiet Words,monospace,11,0.015277777777777777
Quiet Words,sans_serif,11,0.015277777777777777
Quiet Words,serif,11,0.015277777777777777
Readable,display,11,0.015277777777777777
Readable,handwriting,11,0.015277777777777777
Readable,monospace,11,0.015277777777777777
Readable,sans_serif,11,0.015277777777777777
Readable,serif,11,0.015277777777777777
Reading Room,display,17,0.02361111111111111
Reading Room,handwriting,17,0.02361111111111111
Reading Room,monospace,17,0.02361111111111111
Reading Room,sans_serif,17,0.02361111111111111
Reading Room,serif,17,0.02361111111111111
Simple Ideas,display,11,0.015277777777777777
Simple Ideas,handwriting,11,0.015277777777777777
Simple Ideas,monospace,11,0.015277777777777777
Simple Ideas,sans_serif,11,0.015277777777777777
Simple Ideas,serif,11,0.015277777777777777
Simple Text,display,14,0.019444444444444445
Simple Text,handwriting,14,0.019444444444444445
Simple Text,monospace,14,0.019444444444444445
Simple Text,sans_serif,14,0.019444444444444445
Simple Text,serif,14,0.019444444444444445
Small Details,display,12,0.016666666666666666
Small Details,handwriting,12,0.016666666666666666
Small Details,monospace,12,0.016666666666666666
Small Details,sans_serif,12,0.016666666666666666
Small Details,serif,12,0.016666666666666666
Smart Layout,display,17,0.02361111111111111
Smart Layout,handwriting,17,0.02361111111111111
Smart Layout,monospace,17,0.02361111111111111
Smart Layout,sans_serif,17,0.02361111111111111
Smart Layout,serif,17,0.02361111111111111
Structured,display,7,0.009722222222222222
Structured,handwriting,7,0.009722222222222222
Structured,monospace,7,0.009722222222222222
Structured,sans_serif,7,0.009722222222222222
Structured,serif,7,0.009722222222222222
Text Sample,display,13,0.018055555555555554
Text Sample,handwriting,13,0.018055555555555554
Text Sample,monospace,13,0.018055555555555554
Text Sample,sans_serif,13,0.018055555555555554
Text Sample,serif,13,0.018055555555555554
Type Matters,display,15,0.020833333333333332
Type Matters,handwriting,15,0.020833333333333332
Type Matters,monospace,15,0.020833333333333332
Type Matters,sans_serif,15,0.020833333333333332
Type Matters,serif,15,0.020833333333333332
Type Practice,display,13,0.018055555555555554
Type Practice,handwriting,13,0.018055555555555554
Type Practice,monospace,13,0.018055555555555554
