image_path,relative_image_path,family,category,split,text,source_font_path,seed
data/processed/fontsense_system/images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0000.png,images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0000.png,EB Garamond Initials,display,train,Graphic Form,EBGaramond-Initials.otf,42000126
data/processed/fontsense_system/images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0001.png,images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0001.png,EB Garamond Initials,display,train,Hello World,EBGaramond-Initials.otf,42000127
data/processed/fontsense_system/images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0002.png,images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0002.png,EB Garamond Initials,display,train,Type Matters,EBGaramond-Initials.otf,42000128
data/processed/fontsense_system/images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0003.png,images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0003.png,EB Garamond Initials,display,train,FontSense,EBGaramond-Initials.otf,42000129
data/processed/fontsense_system/images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0004.png,images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0004.png,EB Garamond Initials,display,train,Type Matters,EBGaramond-Initials.otf,42000130
data/processed/fontsense_system/images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0005.png,images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0005.png,EB Garamond Initials,display,train,Graphic Form,EBGaramond-Initials.otf,42000131
data/processed/fontsense_system/images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0006.png,images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0006.png,EB Garamond Initials,display,train,Visual Culture,EBGaramond-Initials.otf,42000132
data/processed/fontsense_system/images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0007.png,images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0007.png,EB Garamond Initials,display,train,Modern Design,EBGaramond-Initials.otf,42000133
data/processed/fontsense_system/images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0008.png,images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0008.png,EB Garamond Initials,display,train,Hello World,EBGaramond-Initials.otf,42000134
data/processed/fontsense_system/images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0009.png,images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0009.png,EB Garamond Initials,display,train,Graphic Form,EBGaramond-Initials.otf,42000135
